Lituanien,Français,Catégorie
Aš,Je,Pronoms
Tu,Tu,Pronoms
Jis,Il,Pronoms
Ji,Elle,Pronoms
Mes,Nous,Pronoms
Jūs,Vous,Pronoms
Jie,Ils,Pronoms
Jos,Elles,Pronoms
Mano,Mon / Ma,Pronoms
Tavo,Ton / Ta,Pronoms
Jo,Son (à lui),Pronoms
Jos,Son (à elle),Pronoms
Mūsų,Notre,Pronoms
Jūsų,Votre,Pronoms
Jų,Leur,Pronoms
Man,À moi,Pronoms
Tau,À toi,Pronoms
Jam,À lui,Pronoms
Jai,À elle,Pronoms
Mums,À nous,Pronoms
Jums,À vous,Pronoms
Jiems,À eux,Pronoms
Joms,À elles,Pronoms
Save,Soi-même,Pronoms
Pats,Moi-même / Toi-même,Pronoms
Nulis,Zéro,Nombres
Vienas,Un,Nombres
Du,Deux,Nombres
Trys,Trois,Nombres
Keturi,Quatre,Nombres
Penki,Cinq,Nombres
Šeši,Six,Nombres
Septyni,Sept,Nombres
Aštuoni,Huit,Nombres
Devyni,Neuf,Nombres
Dešimt,Dix,Nombres
Vienuolika,Onze,Nombres
Dvylika,Douze,Nombres
Trylika,Treize,Nombres
Keturiolika,Quatorze,Nombres
Penkiolika,Quinze,Nombres
Šešiolika,Seize,Nombres
Septyniolika,Dix-sept,Nombres
Aštuoniolika,Dix-huit,Nombres
Devyniolika,Dix-neuf,Nombres
Dvidešimt,Vingt,Nombres
Trisdešimt,Trente,Nombres
Keturiasdešimt,Quarante,Nombres
Penkiasdešimt,Cinquante,Nombres
Šešiasdešimt,Soixante,Nombres
Septyniasdešimt,Soixante-dix,Nombres
Aštuoniasdešimt,Quatre-vingts,Nombres
Devyniasdešimt,Quatre-vingt-dix,Nombres
Šimtas,Cent,Nombres
Tūkstantis,Mille,Nombres
Milijonas,Million,Nombres
Pirmas,Premier,Nombres
Antras,Deuxième,Nombres
Trečias,Troisième,Nombres
Ketvirtas,Quatrième,Nombres
Penktas,Cinquième,Nombres
Šeštas,Sixième,Nombres
Septintas,Septième,Nombres
Aštuntas,Huitième,Nombres
Devintas,Neuvième,Nombres
Dešimtas,Dixième,Nombres
Pirmadienis,Lundi,Temps
Antradienis,Mardi,Temps
Trečiadienis,Mercredi,Temps
Ketvirtadienis,Jeudi,Temps
Penktadienis,Vendredi,Temps
Šeštadienis,Samedi,Temps
Sekmadienis,Dimanche,Temps
Sausis,Janvier,Temps
Vasaris,Février,Temps
Kovas,Mars,Temps
Balandis,Avril,Temps
Gegužė,Mai,Temps
Birželis,Juin,Temps
Liepa,Juillet,Temps
Rugpjūtis,Août,Temps
Rugsėjis,Septembre,Temps
Spalis,Octobre,Temps
Lapkritis,Novembre,Temps
Gruodis,Décembre,Temps
Pavasaris,Printemps,Temps
Vasara,Été,Temps
Ruduo,Automne,Temps
Žiema,Hiver,Temps
Rytas,Matin,Temps
Diena,Jour,Temps
Vakaras,Soir,Temps
Naktis,Nuit,Temps
Vidurdienis,Midi,Temps
Vidurnaktis,Minuit,Temps
Šiandien,Aujourd'hui,Temps
Rytoj,Demain,Temps
Poryt,Après-demain,Temps
Vakar,Hier,Temps
Užvakar,Avant-hier,Temps
Dabar,Maintenant,Temps
Tada,Alors / À ce moment,Temps
Visada,Toujours,Temps
Niekada,Jamais,Temps
Kartais,Parfois,Temps
Dažnai,Souvent,Temps
Retai,Rarement,Temps
Greitai,Bientôt / Vite,Temps
Ilgai,Longtemps,Temps
Valanda,Heure,Temps
Minutė,Minute,Temps
Sekundė,Seconde,Temps
Laikas,Temps (durée),Temps
Savaitė,Semaine,Temps
Mėnuo,Mois,Temps
Metai,Année,Temps
Amžius,Siècle / Âge,Temps
Kalendorius,Calendrier,Temps
Žmogus,Humain / Personne,Personnes
Vyras,Homme,Personnes
Moteris,Femme,Personnes
Vaikas,Enfant,Personnes
Mergaitė,Fille (enfant),Personnes
Berniukas,Garçon,Personnes
Kūdikis,Bébé,Personnes
Paauglys,Adolescent,Personnes
Suaugęs,Adulte,Personnes
Senelis,Grand-père,Personnes
Močiutė,Grand-mère,Personnes
Mama,Maman,Personnes
Tėtis,Papa,Personnes
Tėvai,Parents,Personnes
Brolis,Frère,Personnes
Sesuo,Sœur,Personnes
Sūnus,Fils,Personnes
Dukra,Fille,Personnes
Dėdė,Oncle,Personnes
Teta,Tante,Personnes
Pusbrolis,Cousin,Personnes
Pusseserė,Cousine,Personnes
Uošvis,Beau-père,Personnes
Uošvė,Belle-mère,Personnes
Žentas,Gendre,Personnes
Marti,Belle-fille,Personnes
Vyras (mari),Mari,Personnes
Žmona,Épouse,Personnes
Draugas,Ami,Personnes
Draugė,Amie,Personnes
Kaimynas,Voisin,Personnes
Svečias,Invité,Personnes
Kolega,Collègue,Personnes
Viršininkas,Patron / Chef,Personnes
Vardas,Prénom,Personnes
Pavardė,Nom de famille,Personnes
Galva,Tête,Corps
Veidas,Visage,Corps
Akis,Œil,Corps
Ausis,Oreille,Corps
Nosis,Nez,Corps
Burna,Bouche,Corps
Dantis,Dent,Corps
Liežuvis,Langue (corps),Corps
Lūpa,Lèvre,Corps
Plaukai,Cheveux,Corps
Kaklas,Cou,Corps
Petys,Épaule,Corps
Ranka,Bras / Main,Corps
Pirštas,Doigt,Corps
Nykštys,Pouce,Corps
Krūtinė,Poitrine,Corps
Nugara,Dos,Corps
Pilvas,Ventre,Corps
Koja,Jambe / Pied,Corps
Pėda,Pied,Corps
Kelis,Genou,Corps
Oda,Peau,Corps
Kaulas,Os,Corps
Kraujas,Sang,Corps
Širdis,Cœur,Corps
Skrandis,Estomac,Corps
Liga,Maladie,Santé
Sveikata,Santé,Santé
Skausmas,Douleur,Santé
Vaistas,Médicament,Santé
Gydytojas,Médecin,Santé
Vanduo,Eau,Alimentation
Arbata,Thé,Alimentation
Kava,Café,Alimentation
Pienas,Lait,Alimentation
Sultys,Jus,Alimentation
Alus,Bière,Alimentation
Vynas,Vin,Alimentation
Gėrimas,Boisson,Alimentation
Duona,Pain,Alimentation
Sviestas,Beurre,Alimentation
Sūris,Fromage,Alimentation
Mėsa,Viande,Alimentation
Jautiena,Bœuf,Alimentation
Kiauliena,Porc,Alimentation
Vištiena,Poulet,Alimentation
Žuvis,Poisson (aliment),Alimentation
Dešra,Saucisse,Alimentation
Kumpis,Jambon,Alimentation
Kiaušinis,Œuf,Alimentation
Sriuba,Soupe,Alimentation
Salotos,Salade,Alimentation
Daržovė,Légume,Alimentation
Pomidoras,Tomate,Alimentation
Agurkas,Concombre,Alimentation
Bulvė,Pomme de terre,Alimentation
Morka,Carotte,Alimentation
Svogūnas,Oignon,Alimentation
Česnakas,Ail,Alimentation
Kopūstas,Chou,Alimentation
Vaisius,Fruit,Alimentation
Obuolys,Pomme,Alimentation
Kriaušė,Poire,Alimentation
